序号,职位标题,薪资范围,公司名称,工作地点,所处行业,学历要求,每周天数,实习时长,福利待遇,职位描述,简历要求,截止日期,详细地址,详情页url
274,数据采集实习生,200-300/天,Dyna Robotics,上海,Dyna Robotics,本科,5天／周,实习3个月,实习津贴,"职位概述
作为 Dyna Robotics 的数据采集员，您将通过对各类手动任务进行高质量的演示来训练我们的人工智能系统，这将起到至关重要的作用。您的工作将直接影响我们机械臂的准确性和效率，帮助它们学习和改进。您将与工程和人工智能研究团队紧密合作，确保所采集的数据准确且符合要求标准。

主要职责
1、手动控制和远程操作机械臂执行从简单到复杂的任务，确保动作精准
2、采集并标注与任务执行相关的大量数据，确保数据准确且完整
3、详细记录所开展的活动和采集的数据，以便持续改进和分析

任职资格
1、本科及以上学历，计算机、机械、自动化相关专业优先
2、注重细节且手部操作灵活，做事细致，有耐心
3、能够遵循详细的操作指示独立完成工作
4、具备良好的沟通能力和团队合作精神
5、须在职连续3个月以上
6、晚班工作时间为16:30-00:30

优先考虑
1、具有机器人系统、远程操作或相关领域的经验
2、具有数据标注工具和方法的经验
3、熟悉实验室或工业环境中的安全规程
4、具备计算机软件界面和工具（如：命令行、bash、Linux 操作系统）的基本工作知识，能够熟练使用
5、英文听说流利，熟悉跨国公司文化", 中文,2025-12-20,上海市/上海市/长宁区 文洋大厦B楼,https://www.shixiseng.com/intern/inn_miqsdg3e8z7f?pcm=pc_SearchList
275,数据运营实习生,100-120/天,同道猎聘集团,成都,同道猎聘集团,不限,5天／周,实习6个月,"周末双休, 地铁周边","岗位职责：
1，支持运营部做数据统计；
2，根据数据统计做出相应的数据分析；
3，熟练掌握Excel ，有过数据统计和分析经验；

福利待遇：
1、入职后有完善的培训体系，可帮助员工尽快成长；
2、周末双休，国家法定节假日休息；
3、团队活动，节日福利；
4、毕业后优先转正机会。 


 ", 中文,2026-3-31,四川省/成都市/锦江区 摩根中心2栋22层,https://www.shixiseng.com/intern/inn_7ioez7fjjzyd?pcm=pc_SearchList
276,数据运营实习生,120-180/天,同道猎聘集团,上海,同道猎聘集团,本科,4天／周,实习3个月,"可转正实习, 周末双休, 节日福利","岗位职责
协助运营团队进行多维度数据统计与整理，包括日报、周报及专项数据汇总；
根据业务需求进行数据清洗与分析，挖掘数据背后的业务洞察；
参与制作数据可视化图表，辅助运营决策与业务复盘。
任职要求
本科及以上学历，统计学、数学、计算机等相关专业优先；
熟练掌握Excel（VLOOKUP/数据透视表/函数公式），有数据统计分析经验者优先；
具备良好的逻辑思维能力，对数据敏感，能快速理解业务需求；
每周可实习4-5天，实习时长不少于3个月。
福利待遇
系统化成长支持：入职即享完善培训体系+1v1导师带教，快速掌握数据分析技能
工作生活平衡：周末双休+法定节假日全休，弹性工作时间
团队氛围活跃：定期团建活动+节日惊喜福利，年轻团队协作无间
职业发展助力：表现优秀者可获得转正机会，开具官方实习证明", 不限,2026-3-31,上海市/上海市/浦东新区 东育路221弄1号A座18F,https://www.shixiseng.com/intern/inn_a7oueq77usr1?pcm=pc_SearchList
277,数据运营实习生,150/天,得物App,上海,得物App,本科,5天／周,实习3个月,地铁周边,"【职位描述】    
1. 负责日常费率数据处理和专项分析工作；  
2. 支持项目所需的数据分析，辅助业务策划制定；  
3. 协助项目的横向沟通，协助项目落地。  

【职位要求】  
1.熟练掌握数据查询和处理工具(如SQL等)，较好的数据分析能力和数据敏感性;
2.跨部门协作和沟通能力强;
3.本科及以上学历，每周实习5天以上优先。", 中文,2026-11-8,上海市/上海市/杨浦区 互联宝地T7栋,https://www.shixiseng.com/intern/inn_fyuxog4owbz4?pcm=pc_SearchList
278,数据运营实习生,150/天,科锐国际,北京,科锐国际,不限,4天／周,实习4个月,"寒假实习, 不加班","工作职责：
1.负责公司内部系统的数据维护、清洗、校对工作，确保数据准确性；
2.确保数据标准化处理、录入，确保数据的完整性并按时完成录入要求；
3.辅助业务完成数据分析、仪表盘设计工作，快速响应业务团队的数据需求；
4.维护关键数据监控指标，及时发现数据异常并进行预警；
5.运用Python、Excel、SQL等工具对数据进行简单的清洗、整理工作，定期产出分析报告，为产品优化和运营策略提供数据支持；
6.相关项目的AI工作流搭建、知识库维护等辅助工作；
7.其他临时性的数据、运营类工作支持
职位要求：
ꔷ 本科及以上在校生，信息管理、计算机、统计、管理工程、数学、人力资源等相关专业优先；
ꔷ 具备良好的数据意识与逻辑能力，善于总结和发现问题，熟练使用 Excel、Python，掌握 SQL 优先；
ꔷ 沟通表达清晰，具备良好的团队协作意识和学习能力；
ꔷ 工作认真、严谨，对维护及校对的数据负责；
ꔷ 每周不少于4天实习时间，能连续实习4个月以上者优先
ꔷ 熟悉人力资源领域、中台产品，或对Ai相关工具有经验者优先", 中文,2026-2-25,北京市/北京市/朝阳区 兆泰国际中心-A座,https://www.shixiseng.com/intern/inn_2ksvk4f2b6ng?pcm=pc_SearchList
279,数据标注实习生,150-200/天,米粿漫画,上海,米粿漫画,大专,5天／周,实习6个月,"实习津贴, 一对一导师","岗位内容：
1.协助算法工程师处理漫画、动漫图片数据
2.测试并按要求标注和导出图片；
3.了解并使用photoshop

任职要求：
1.不限专业，有团队协作和高效沟通能力，愿意尝试新领域，学习新技能;
2.有接触过数据标注的优先。", 中文,2025-12-31,上海市/上海市/杨浦区 国定东路200号创业者实训基地,https://www.shixiseng.com/intern/inn_cgw0dysqzb7j?pcm=pc_SearchList
280,数据标注实习生,150-180/天,恒聚愿景,北京,恒聚愿景,本科,4天／周,实习3个月,"接受大一大二, 零基础实习","岗位职责:
1、参与数据标注项目，执行数据采集、标注及初步的数据处理工作;
2、协助优化数据标注流程，提出改进建议以提升标注效率和质量:
3、与团队协作，确保标注结果符合项目标准和业务需求;
4、参与数据质量评估，协助发现标注过程中的问题并提出解决方案。
任职要求:
1、对数据处理和机器学习领域有浓厚兴趣:
2、具备良好的逻辑思维能力和细致的工作态度:
3、具有较强的学习能力和适应能力，能够快速掌握新工具和方法;
4、良好的团队合作精神，能够有效沟通，有责任心。
任职地点：
工作地点：华为北京研究所（北清路上）
工作时间：9点半-7点，午休1.5小时
每周至少可实习4天，至少要工作3个月", 中文,2025-11-20,北京市/北京市/海淀区 华为北京研究所(环保园),https://www.shixiseng.com/intern/inn_sg5cibiuqqvx?pcm=pc_SearchList
281,数据运营实习生,120/天,飞未云科,武汉,飞未云科,本科,5天／周,实习3个月,"零基础实习, 一对一导师","职位描述：
1、常规数据交付：协助公司各项目月度数据运维，参与数据清洗，赠品剔除、价格销量异常处理，数据验收，PPT和看板维护更新；
2、数据库升级：参与大型数据库升级维护，搭建品类、品牌、标准商品的规则以及META库更新；

职位要求：
1、本科以上学历，英语读写流利（CET-4）；
2、数据敏感、逻辑清晰，主动反馈，能独立负责数据交付，对交付质量负责；
3、具备良好的自我驱动能力、快速学习能力、理解能力、沟通能力、结果导向；
4、Excel技能必备（vlookup），熟练使用SQL（增删改查）、了解Tableau者优先；
5、具有团队协作精神，勇于接受困难和挑战，能与组员或团队协作共同攻克数据问题；", 中文,2025-11-29,湖北省/武汉市/武昌区 绿地楚峰大厦,https://www.shixiseng.com/intern/inn_ocd5b17wqp8d?pcm=pc_SearchList
282,数据运营实习生,100-150/天,NIO蔚来,台州,NIO蔚来,本科,5天／周,实习6个月,"一对一导师, 周末双休","职位内容:
1、参与销售团队看板的设计与维护，输出日、周、月报、为销售团队提供日常数据支持;
2、熟悉销售系统逻辑和操作并能支持Fellow日常系统工具
应用;
3、参与数据项目的统计分析，梳理过程文档，推动数据处理常规化与高效化;
4、支持区域项目追踪，协助区域数据分析可视化与常规化;
5、愿意参与更多力所能及的工作，如项目支持，活动支持，其他支持等。
职位要求:
1、本科及以上学历，实习时间不低于6个月，一周能到岗5天;
2、对数据分析与可视化感兴趣，愿意不断探索和学习;
3、熟悉办公软件，会Excel数据透视和常用公式的优先;
4、踏实，有责任心，愿意一 起为团队目标努力;", 中文,2026-1-15,浙江省/台州市/温岭市 温岭银泰,https://www.shixiseng.com/intern/inn_xmgnfbupzflm?pcm=pc_SearchList
283,数据运营实习生,150-200/天,好未来,北京,好未来,本科,4天／周,实习3个月,"周末双休, 餐补","岗位职责：
1、协助搭建销售数据监控体系，完成日常数据清洗、分析及可视化报表制作
2、支持业务部门数据需求，包括但不限于用户行为分析、销售漏斗模型优化及市场活动效果评估
3、协助制定销转策略实施方案，通过数据监测追踪执行进度，完成策略落地和后续工作跟进
4、支持团队其他运营工作，包括不限于运营策略、协同跨部门对接，配合支持活动落地

任职要求：
1、本科在读或应届毕业生，统计/计算机等相关专业优先 
2、至少掌握Excel/SQL基础数据处理技能，可视化工具者加分 
3、掌握ps、有海报设计经验、有教育类工作经验者优先。
4、对教育行业有热情，每周至少实习4天，持续3个月以上", 中文,2026-3-4,北京市/北京市/昌平区 好未来大楼,https://www.shixiseng.com/intern/inn_sakmp2cdpfqh?pcm=pc_SearchList
284,数据治理实习生,110-150/天,力维智联,"徐州市,连云港市,淮安市,扬州市,镇江市",力维智联,本科,5天／周,实习6个月,可转正,"工作职责参与数据治理项目交付实施工作，包括数据调研、数据采集、数据质检、模型构建、数据指标分析等。任职资格1.计算机或相关专业，在校大三、大四学生；
2.掌握SQL、Hive SQL、FLink SQL中一种或多种，具备分析数据和批量处理数据能力；
3.具备良好的问题分析和解决问题的能力；
4.良好的沟通和团队合作精神。

工作地点：南京市、徐州市、扬州市、镇江市、连云港市、淮安市

实习周期：6个月及以上

实习期间获得的收益：
1.签订实习协议，按月支付实习报酬，公司提供住宿；
2.通过深度参与项目实战，掌握数据治理方法和实施流程，提升专业能力；
3.公司安排导师传帮带，并享受技术培训；
4.实习期结束，公司提供社会实践/项目实习证明，为校招求职增加核心竞争力；
5.实习阶段表现突出，优先获得公司校招直通卡。", 中文,2026-12-31,扬州市住建局,https://www.shixiseng.com/intern/inn_qv5bbhg4prkg?pcm=pc_SearchList
285,数据处理实习生,150-180/天,Alfa Laval,上海,Alfa Laval,本科,3天／周,实习6个月,"周末双休, 地铁周边","We are seeking a highly motivated and analytical Market Intelligence Intern to join our team. The successful candidate will support our market research efforts, contributing to the development of strategic insights that drive business decisions. This role is ideal for someone with a strong interest in market analysis, data analytics, and a passion for staying ahead of the curve in the business world.
﻿
About the job:
1. Assist in the collection and analysis of data from various sources, including online databases, surveys, and interviews.
2. Keep abreast of industry news and developments relevant to the company’s business areas.
3. Conduct market research to identify trends, opportunities, and competitive intelligence.
4. Collaborate with cross-functional teams to align market intelligence with business objectives.
5. Participate in team meetings and contribute ideas for improving research methodologies and processes.
6. Utilize data analytics tools to process and interpret large datasets.
﻿
What you know:
1. Quick learner with a keen interest in staying updated with the latest market trends and technologies.
2. Either previous consulting or market research experience is a plus.
3. At least 3 days per week and stable internship.
4. A team player with a positive attitude and a willingness to contribute to a fast-paced work environment.

Nice to have:
1. Proficient in data analytics tools and software (e.g., Excel, SQL, R, Python, Tableau).
2. Currently pursuing a bachelor’s or master’s degree in business administration, Marketing, Economics, Data Science, or a related field.
3. Strong analytical skills with the ability to synthesize complex information into clear and actionable insights.", 中文 英文,2025-11-30,上海市/上海市/黄浦区 金钟广场 淮海中路98号(近柳林路),https://www.shixiseng.com/intern/inn_w3zmoiekfuek?pcm=pc_SearchList
286,数据处理实习生,120-200/天,HALEON赫力昂,上海,HALEON赫力昂,本科,5天／周,实习3个月,"不打卡, 实习津贴, 周末双休, 地铁周边","职位描述：
【工作职责】 
数据处理实习生！ 
1.渠道销售数据整理分析
2.市场情况分析报告
3.品牌及竞品表现分析
4、营销活动执行追踪
5、系统数据录入
主要以数据整理为主，需要熟练使用excel，耐心细致
2025年毕业优先

【任职要求】 
1. 熟练掌握office软件；英文读写、沟通能力强； 
2. 主观能动性强，有高度责任心，细心靠谱； 
3. 多任务处理能力、团队合作能力强，有一定的抗压能力；  
4. 大三及以上，有相关实习经验者优先。  

【你将获得】 
1. 赫力昂（原葛兰素史克日用保健品公司） 全球领先的消费健康领域公司，一份有含金量的世界500强外企实习经历。 
2. 超好的老板，同事！！工作氛围一级棒！！会及时给予你反馈指导，带你深度参与完整的项目流程。 
3. 熟悉从新品牌0到1推进业务的各个流程，包括品牌策划、内容营销、媒体投放、商务合作及渠道优化等。 
4. 绝佳办公环境及位置，距离6号线/8号线/11号线300米，紧邻前滩太古里，周边美食吃不停，办公室咖啡、茶无限供应，下午茶不间断。  

【出勤要求】 1. 每周至少4天到岗，近期可接受面试； 2. 持续3个月以上； 3. 仅接受线下实习
 
【工作城市】
上海", 中文,2026-10-22,上海市/上海市/浦东新区 前滩国际广场,https://www.shixiseng.com/intern/inn_xk25jkm8bq2y?pcm=pc_SearchList
287,大数据开发实习生-国际化广告创意与品牌,400/天,字节跳动,上海,字节跳动,本科,4天／周,实习4个月,"免费三餐, 团队氛围好, 扁平管理","职位描述
日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。
团队介绍：国际商业化产品与技术团队支持字节跳动国际产品的广告产品与变现技术。国际化广告创意与生态系统团队致力于为广告创意的生产、解读及优化开发全球领先的技术解决方案。我们的使命是赋能并激发生态内的广告主、创作者及第三方合作伙伴，为终端用户打造并交付最具吸引力的创意体验。
我们以用户为中心，执着于技术卓越，力求在广告技术与创意行业引领技术创新。我们的目标是为产品赋能，并为客户、创作者及整个生态系统创造价值。

1、参与营销产品数据开发，通过系统化整合广告、受众、媒体、内容等多维度数据帮助客户制定更高效的营销策略，驱动业务增长；
2、满足各区域市场差异化需求、行业特性和合规要求，支持广告业务标准化、高效落地；
3、负责核心数据链路的开发与优化，包括数据建模、任务开发、数据治理、调度和交付，支撑多维、异构、跨地域的数据流转；
4、深入理解业务逻辑，抽象业务需求，沉淀标准化的数据产品和数据资产；
5、持续优化数据质量、稳定性和交付效率，提升平台的可维护性和可扩展性；
6、与后端、产品、算法、前端等团队协作，将数据能力转化为客户可感知的高质量数据产品，助力客户决策。
职位要求
1、2027届计算机、软件工程、数据相关专业本科及以上学历，扎实的数据结构、数据库和编程基础；
2、熟练掌握至少一种主流编程语言（如Java/Scala/Python）和大数据开发框架；
3、了解Hive/Spark/Flink等主流数据开发生态，具备数据建模、ETL开发、调度治理等实践经验；
4、良好的逻辑思维能力、沟通能力和团队合作意识，能主动推动问题解决；
5、每周可实习4天以上，可实习3个月以上。
base北京或上海", 中文,2025-12-14,上海市/上海市/徐汇区 漕河泾现代园,https://www.shixiseng.com/intern/inn_2ztpcjdmvzgi?pcm=pc_SearchList
288,Data Engineering-大数据研发实习生,250-300/天,滴滴,北京,滴滴,硕士,4天／周,实习3个月,晚餐补贴,"岗位职责（具体工作内容）
1.参与滴滴国际化数据体系建设
2.参与数据采集、ETL、建模、开发、分析等标准化搭建
3.参与数据体系化流程化治理
4.参与业务问题拆解、转化、沟通与解决赋能

任职资格（学历、目标院校、语言、技能、性格等要求）
1.了解大数据生态/数据开发/优先，包括但不限于Hadoop、Spark、Flink、OLAP
2.熟悉Java/Python/shell任意一门编程语言，熟练使用SQL、Excel等常用办公工具
3.具备快速学习能力、逻辑思维能力和团队精神，有较强的责任心和学习积极性
4.每周实习>=4天，实习周期>=3个月，北京高校、可快速到岗、有实习经验优先
5.计算机相关专业，获奖或参与过建模比赛优先", 中文,2025-12-31,北京/天空之城-北京市昌平区回龙观北郊农场桥西万科天空之城A&B座,https://www.shixiseng.com/intern/inn_s1nswcbscvny?pcm=pc_SearchList
289,国际事业群IBG-数据开发实习生,200-300/天,滴滴,上海,滴滴,硕士,4天／周,实习3个月,"实习证明, 晚餐补贴","岗位职责（具体工作内容）
1.负责国际收单、钱包等场景的数据研发工作;
2.深入理解国际支付业务和风险，了解策略和算法的评估方法，构建标准的效果评测pipeline;
3.构建支付场景的关系网络，支持上层算法应用;
4.负责数据开发链路研发和维护，优化相关代码，实现全流程的高效运行。
任职资格（学历、目标院校、语言、技能、性格等要求）
1. 计算机等相关专业研究生及以上学历 ，具备独立的ETL设计开发能力；
2. 对数据敏感，具有优秀的业务理解，数据分析和解决问题能力，对于大数据结果应用到产生商业价值具有热情；
3. 熟悉SQL执行原理，对代码进行优化，结合数据仓库设计可以快速的提供成本/时效/合规/架构最优的解决方案；
4. 熟悉数据仓库领域知识和技能者优先，如Hadoop/Hive/Spark/Flink等；
5. 具备一定的Python语言的开发能力，具备机器学习算法相关能力优先。", 中文,2025-12-31,北京/天空之城-北京市昌平区回龙观北郊农场桥西万科天空之城A&B座,https://www.shixiseng.com/intern/inn_1xtgbvnrokac?pcm=pc_SearchList
290,【日常实习】OPA-大数据开发-SZ,300-400/天,Shopee,深圳,Shopee,本科,5天／周,实习3个月,"周末双休, 地铁周边","【职位描述】 DE

1. 负责shopee电商增长业务的基础数据建设工作，打造高效可用的离线数据系统；

2.负责基础数据维表，特征数据，业务报表等数据的开发工作；

3.负责业务数据的分析，充分理解业务逻辑，能够通过数据分析发现，解释，解决业务中潜在问题；



【任职要求】

1. 良好的代码能力，熟悉Python/java中的一种编程语言，了解C++/C/go编程；

2.良好的数据结构算法基础,有一定的离在线系统开发实践经验;

3.熟悉大数据计算平台架构，掌握Hadoop、HBase、Flink、Spark、Kafka，ES，ClickHouse等大数据开发工具中一种或几种；

4.对电商业务有一定了解，搜广推相关系统技术架构有一定了解；

5.具备较强的责任感，学习能力强，工作认真细心，具备较强合作精神；

6.具备较强的自我驱动力与抗压能力，并乐于不断尝试、追求业务突破；", 不限,2025-12-8,广东省/深圳市/南山区 Shopee深圳虾皮信息科技有限公司,https://www.shixiseng.com/intern/inn_okqkpip0vuka?pcm=pc_SearchList
291,Operation Analyst Intern 客服数据分析实习生,100-150/天,晨星资讯（深圳）有限公司,深圳,晨星资讯（深圳）有限公司,不限,4天／周,实习3个月,实习津贴,"he Area: 

Morningstar China team is responsible for helping our clients in China build their business and provide better outcome for investors in the market. 

The Role: 

As an Operation Analyst intern, you will help to maintain China mutual fund database, to ensure the required data are in place to drive the product and ensure the quality and efficiency of the product delivery process. 

Responsibilities: 

1. Perform data auditing to ensure the data is accurate and complete before delivering the product to clients. 

2. Support Solution Analyst to delivery monthly reports to China clients with strict deadlines. 

3. Work with data analysts, developers to solve data or product related issues. 

Requirements: 

1. Current enrollment in bachelor’s or master's degree, Finance-related major is preferred. 

2. Proficiency in MS Excel, Outlook and Word. 

3. Strong attention to details. 

4. Task-oriented and good communication skills. 

5. At least 3 months’ availability with 4-5 days/week. ", 中文,2026-8-23,广东省/深圳市/福田区 东海国际中心 深南大道7888号,https://www.shixiseng.com/intern/inn_06lfmxsqmwum?pcm=pc_SearchList
292,分析实习生,薪资面议,言楚,上海,言楚,不限,3天／周,实习6个月,"远程实习, 接受大一大二, 留学生实习, 地铁周边, 实习证明, 一对一导师, 可转正实习"," 岗位职责


 1.每月写行业研究报告


 2.服务企业的资产负债表和现金流量表要看懂


 3.周例会时给出财务预测与建议


 4.总裁亲自带，工作量适中。


 


 任职要求


 1.学习能力快


 2.有商业分析能力


 


 你将获得


 1.实习证明


 2.业务能力


 3.行业资源", 中文,2026-3-31,上海市/上海市/普陀区 李子园大厦,https://www.shixiseng.com/intern/inn_mdot9dsgl1v7?pcm=pc_SearchList
293,AI战略-战略分析实习生,150-200/天,滴滴,北京,滴滴,本科,4天／周,实习3个月,晚餐补贴,"岗位职责（具体工作内容）
1、深入研究AI模型和产品应用，跟踪产品与市场动态，挖掘行业发展趋势，测评创新产品，撰写报告，向核心管理层与业务团队输出行业洞察
2、参与竞品研究与外部调研，收集、分析竞对业务信息，参与专家访谈，整理访谈纪要
3、参与搜寻约聊海内外AI行业创业公司，追踪海内外科技大厂AI布局，挖掘优秀公司进行深入研究

任职资格（学历、目标院校、语言、技能、性格等要求）
1、海内外高校本科或研究生在读，学科不限，计算机或商科优先；有互联网战略/AI产品/AI投资等实习经历优先，会一定编程优先
2、每周到岗4天及以上，实习3个月及以上，工作积极主动，具有高度的责任心、勤奋踏实
3、对AI大模型行业和AI产品有一定认识，有好奇心，愿意深入钻研，思维灵活，有良好的沟通能力
4、具备较强的行业研究、信息搜集、快速学习、独立思考能力和结构化思维
5、英语听说读写流利", 中文,2025-12-31,北京,https://www.shixiseng.com/intern/inn_jmjdo9qo49az?pcm=pc_SearchList
294,经营分析实习生-抖音电商,150/天,字节跳动,北京,字节跳动,本科,5天／周,实习5个月,"团队氛围好, 用户过亿, 大牛带队, 免费三餐, 弹性工作, 租房补贴","职位描述:
日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。 
团队介绍：抖音电商致力于成为用户发现丰富好物的首选平台。众多抖音创作者通过短视频、直播、商城等丰富的形式，给用户提供更个性化、更生动、更高效的消费体验。同时，抖音电商积极引入优质合作伙伴，为商家变现提供多元的选择。

1、协助策略团队展开经营分析、数据研究工作：包括但不限于行业的趋势分析、产业带研究、数据收集整理与解读、业务指标的下钻分析等；
2、结合对市场营销、电商生态的理解，深度参与业务执行工作：包括但不限于协助电商商家端沟通、协助部门进行信息梳理、项目跟进和其他日常运营；
3、基于对业务全貌、电商活动玩法的深入了解，与策略、运营、市场等团队并肩作战，共同推动重点业务开展；
4、深度支持并协同履约运营团队，保证履约质量和时效服务体验。 

职位要求:
1、本科及以上学历在读；
2、有行业研究、数据分析、市场营销的实习经验优先；
3、有基础的数据分析、数据整理能力，能使用SQL、Python、Tableau、Excel优先；
4、有扎实的项目管理能力，包括跨团队协作和沟通、信息整理汇总、结构化的提炼总结、清晰有逻辑的表达和写作；
5、拥有较强的逻辑思维能力、自驱力和主动性，以及良好的团队沟通和合作能力，喜欢挑战性的工作，工作激情饱满，能承受工作压力。", 中文,2025-11-22,中国大陆北京市海淀区花园东路19号中兴大厦1层，邮编：100191,https://www.shixiseng.com/intern/inn_yix6mfeaj2ga?pcm=pc_SearchList
295,商业分析-战略研究实习生,200-250/天,美团,北京,美团,本科,3天／周,实习3个月,"免费班车, 周末双休, 餐补, 一对一导师","岗位职责:
1.聚焦酒店管理系统（PMS）行业，开展宏观行业研究，包括但不限于定性及定量分析，案例对标等；常规输出行业动态报告；
2.收集和整理商业分析重点项目相关数据，并进行数据分析，提供准确的商业洞察和建议；
3.协助酒店SaaS商业分析团队进行项目管理，确保项目按时交付，并保持高质量的工作成果；
4.与项目协同方进行沟通和协作，收集和整理业务需求，为业务流程改进和决策提供建议。
岗位要求:
1.大三/大四/研究生在校学生，要求有责任心，自驱力强，细心踏实；
2.对商业研究和数据分析具有浓厚的兴趣，能够熟练运用数据处理、常用办公软件进行数据处理和展示；
3.具备高度的责任心和工作积极性，能够承受一定的工作压力并按时保质完成工作任务；
4.一周实习至少3天，实习期3个月以上，可长期实习者优先。
岗位亮点:
1.作为商业分析-战略研究实习生，你将有机会参与到公司商业决策环节，为公司的发展提供重要的支持和建议；
2.在工作中，你将有机会接触到丰富的市场数据和商业信息，提升自己的商业分析和数据处理能力；
3.通过与不同部门的沟通和协作，你将能够了解公司的运营和业务流程。
具备以下优先:
有咨询公司/商业分析/互联网数据分析实习经验优先", 中文,2025-12-12,北京市/北京市/朝阳区 鼎成中心CD座,https://www.shixiseng.com/intern/inn_u1ufize02gnz?pcm=pc_SearchList
296,德勤咨询汽车商业数字化数据运营实习生,120-150/天,德勤华北区,北京,德勤华北区,本科,5天／周,实习4个月,"可转正实习, 实习津贴","【工作职责】
1. 需求收集与整理：协助进行数据需求调研，梳理和分析需求变更及优化点，形成清晰的需求文档和报告。
2. 数据处理与分析：使用SQL/Excel/Tableau等工具进行数据提取、清洗、分析和可视化。 
3. 数据运营与分析：进行数据分析与洞察，识别业务场景下的异常行为，形成监控报告，支持业务决策。
4. 测试与验收支持：配合技术团队进行数据产品测试，验证数据准确性和功能可用性，确保需求落地。
5. 日常运营支持：参与流程管理、沟通协调、文档撰写、问题答疑等运营支持工作。
【任职要求】
1. 熟练使用Excel、PPT、Word，具备良好的逻辑思维和基础数据分析能力；掌握SQL或Tableau、QuickBI、Power BI等分析工具者优先。
2. 具备良好的沟通能力和团队协作意识，工作主动、认真负责，有一定抗压能力，愿意学习和成长。
3. 有数据分析、数据运营或数字化项目相关经验者优先。
4. 年级要求：本科大三、大四或研究生。
5. 专业要求：不限，统计学、商业分析、计算机、经济学等相关专业优先。", 中文,2026-7-29,北京市/北京市/朝阳区,https://www.shixiseng.com/intern/inn_avuuwqys9z2t?pcm=pc_SearchList
297,国际事业群IBG-大数据研发实习生,200-300/天,滴滴,北京,滴滴,本科,4天／周,实习6个月,晚餐补贴,"岗位职责（具体工作内容）
1.参与滴滴国际化数据体系建设
2.参与数据采集、ETL、建模、开发、分析等标准化搭建
3.参与数据体系化流程化治理
4.参与业务问题拆解、转化、沟通与解决赋能

任职资格（学历、目标院校、语言、技能、性格等要求）
1.了解大数据生态/数据开发/分析/产品优先，包括但不限于Hadoop、Spark、Flink、StarRocks
2.熟悉Java/Python/shell任意一门编程语言，熟练使用SQL、Excel等常用办公工具
3.具备快速学习能力、逻辑思维能力和团队精神，有较强的责任心和学习积极性
4.每周实习>=4天，实习周期>=6个月，北京高校、可快速到岗、有实习经验优先
5.数学、统计学、计算机相关专业，获奖或参与过建模比赛优先", 中文,2025-12-31,北京/天空之城-北京市昌平区回龙观北郊农场桥西万科天空之城A&B座,https://www.shixiseng.com/intern/inn_hu2wjdynk5ki?pcm=pc_SearchList
298,🚀【InnoHub】数据研发实习生（AI方向）,200-300/天,唯识万象,北京,唯识万象,本科,4天／周,实习3个月,"地铁周边, 实习津贴, 一对一导师","💡 项目简介

InnoHub 是一个连接 AI技术与企业需求 的智能平台。
我们让好技术遇见真需求，帮助企业快速落地AI解决方案。
加入我们，你将站在AI商业化的最前线，用数据推动技术落地。

📍 北京·海淀·五道口 | 地铁13号线步行5分钟

🔍 岗位职责
- 数据采集：使用 Firecrawl/Scrapy 等框架开发自动化爬虫，抓取AI企业与服务商信息
- 数据清洗：利用 Pandas/Numpy 进行去重、标准化，确保数据准确率 >95%
- 数据库维护：参与企业画像数据库建设与优化
- 算法支持：协助改进智能匹配推荐算法，为产品决策提供数据支撑

🧠 任职要求
✅ 必备技能
- Python 基础扎实，能独立编写脚本
- 熟悉 Pandas、NumPy、SQL
- 逻辑清晰，注重数据质量
🌟 加分项
- 有爬虫项目经验（Scrapy / Selenium / Firecrawl）
- 了解 LLM（如 GPT / Claude）调用或 Prompt 工程
- 会数据可视化（Matplotlib / Tableau）
- 有 Git 协作经验

🧩 我们希望你
- 对 AI 行业与企业服务充满兴趣
- 有责任心，能独立完成任务
- 思维细致、学习能力强

📈 你能获得
🎯 从 0 到 1 参与企业画像数据库建设
🤖 与 LLM 协同工作，理解真实商业数据
🧑‍🏫 技术导师带教，系统学习数据工程
📜 实习证明 + 转正机会", 中文,2025-11-29,北京市/北京市/海淀区 东升大厦A座,https://www.shixiseng.com/intern/inn_xh9xaacxgk9z?pcm=pc_SearchList
299,国际事业群IBG-大数据研发实习生,200-300/天,滴滴,北京,滴滴,本科,5天／周,实习3个月,实习证明,"岗位职责：
1.参与滴滴国际化数据体系建设
2.参与数据采集、ETL、建模、开发、分析等标准化搭建
3.参与数据体系化流程化治理
4.参与业务问题拆解、转化、沟通与解决赋能

任职资格：
1.了解大数据生态/数据开发/分析/产品优先，包括但不限于Hadoop、Spark、Flink、StarRocks
2.熟悉Java/Python/shell任意一门编程语言，熟练使用SQL、Excel等常用办公工具
3.具备快速学习能力、逻辑思维能力和团队精神，有较强的责任心和学习积极性
4.每周实习>=4天，实习周期>=6个月，北京高校、可快速到岗、有实习经验优先
5.数学、统计学、计算机相关专业，获奖或参与过建模比赛优先", 中文,2025-12-31,北京,https://www.shixiseng.com/intern/inn_ve2bhspn1woh?pcm=pc_SearchList
